"Customweb_UnzerCw::!label (Live)","!label (Live)"
"Customweb_UnzerCw::Pay with ____paymentMethodName____","Pay with ____paymentMethodName____"
"Customweb_UnzerCw::Payment","Payment"
"Customweb_UnzerCw::Payment Failed","Payment Failed"
"Customweb_UnzerCw::Payment ID","Betaling ID"
"Customweb_UnzerCw::Payment Id","Betaling ID"
"Customweb_UnzerCw::Payment Information","Informatie over betaling"
"Customweb_UnzerCw::Payment Method","Betalingsmethode"
"Customweb_UnzerCw::Payment captured successfully.","Betaling succes gevangen"
"Customweb_UnzerCw::Payment could not be authorized. Cancelling order. Reason : ","De betaling is niet geatoriseerde. De bestelling wordt geannuleerd. Reden:"
"Customweb_UnzerCw::Payment details can be entered after placing the order","Betaling informatie kan worden ingevoerd na het plaatsen van de bestelling"
"Customweb_UnzerCw::Payment from Applicable Countries","Payment from Applicable Countries"
"Customweb_UnzerCw::Payment from Specific Countries","Payment from Specific Countries"
"Customweb_UnzerCw::Payment from applicable countries","Betaling van de toepasselijke landen"
"Customweb_UnzerCw::Payment from specific countries","Betaling van specifieke landen"
"Customweb_UnzerCw::Payment is pending at UnzerCw","Betaling in behandeling bij UnzerCw"
"Customweb_UnzerCw::Payment method description","Beschrijving van de betaalmethode"
"Customweb_UnzerCw::Payment with %s","Payment with %s"
"Customweb_UnzerCw::Payment with Unzer","Betalen met Unzer"
"Customweb_UnzerCw::PaymentReference Schema","PaymentReference Schema"
"Customweb_UnzerCw::Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","Betalingen kunnen automatisch worden bijgewerkt (in minuten) via API (indien ingeschakeld). Om de functie te gebruiken, moet de Magento Cron worden ingeschakeld."
"Customweb_UnzerCw::Pending","Pending"
"Customweb_UnzerCw::Pending UnzerCw","Pending UnzerCw"
"Customweb_UnzerCw::Place Order","Place Order"
"Customweb_UnzerCw::Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Customweb_UnzerCw::Please check the entered CVC number.","Controleer de ingevoerde CVC nummer."
"Customweb_UnzerCw::Please check the entered credit card number.","Controleer de ingevoerde creditcardnummer."
"Customweb_UnzerCw::Please check your inputs to ensure all company required fields are present.","Please check your inputs to ensure all company required fields are present."
"Customweb_UnzerCw::Please enter here the Bank Identifier Code (BIC).","Vul hier de Bank Identifier Code (BIC)."
"Customweb_UnzerCw::Please enter here the CVC code from your card. You find the code on the back of the card.","Voer hier het CVC uw kaart in te voeren. U kunt dit vinden op de achterkant van uw creditcard."
"Customweb_UnzerCw::Please enter here the International Bank Account Number (IBAN).","Voer hier het International Bank Account Number (IBAN)."
"Customweb_UnzerCw::Please enter here the account holder name on the card.","Vul hier de naam rekeninghouder op de kaart."
"Customweb_UnzerCw::Please enter here the account holder name.","Vul hier de naam van de rekeninghouder."
"Customweb_UnzerCw::Please enter here the account number of your bank account.","Vul het rekeningnummer van uw bankrekening in te voeren"
"Customweb_UnzerCw::Please enter here the bank code of your bank.","Vul hier de bankcode van uw bank in te voeren"
"Customweb_UnzerCw::Please enter here the card holder name on the card.","Geef de kaarthouder een"
"Customweb_UnzerCw::Please enter here the commercial number of your company.","Vul hier het commerciële nummer van uw bedrijf."
"Customweb_UnzerCw::Please enter here the name of the account owner.","Vul de naam van de rekeninghouder in te voeren"
"Customweb_UnzerCw::Please enter here the number on your card.","Vul het kaartnummer van uw creditcard in te voeren"
"Customweb_UnzerCw::Please enter here the sales tax number of your company.","Vul hier de omzetbelasting nummer van uw bedrijf."
"Customweb_UnzerCw::Please enter here your social security number.","Vul hier uw sofi-nummer."
"Customweb_UnzerCw::Please enter the location of your bank.","Vul de locatie van uw bank."
"Customweb_UnzerCw::Please enter the name of your bank.","Vul de naam van uw bank."
"Customweb_UnzerCw::Please enter your IBAN number.","Gelieve uw IBAN-nummer."
"Customweb_UnzerCw::Please enter your issue number, if there is no CVC code on your card.","Vul uw probleem nummer als er geen CVC code op uw kaart."
"Customweb_UnzerCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Customweb_UnzerCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Gelieve knipperen of de opslag cache uit te schakelen en probeer het opnieuw. Als dit niet helpt, moet u de machtiging methode om Payment Page en contact <a href=""%s"" target=""_blank"">sellXed</a>.', 'http://www.sellxed.com/en/support"
"Customweb_UnzerCw::Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Customweb_UnzerCw::Please log in below:","Please log in below:"
"Customweb_UnzerCw::Please pay the amount of !amount using the following bank data:<br/><b>Descriptor:</b> !descriptor<br/><b>Account Holder:</b> !holder<br/><b>IBAN:</b> !iban<br/><b>BIC:</b> !bic<br/>","Please pay the amount of !amount using the following bank data:<br/><b>Descriptor:</b> !descriptor<br/><b>Account Holder:</b> !holder<br/><b>IBAN:</b> !iban<br/><b>BIC:</b> !bic<br/>"
"Customweb_UnzerCw::Please select","Selecteer aub"
"Customweb_UnzerCw::Please select a shipping method before sending the order.","Please select a shipping method before sending the order."
"Customweb_UnzerCw::Please select the Bank Identifier Code (BIC) of your bank.","Selecteer de Bank Identifier Code (BIC) van uw bank."
"Customweb_UnzerCw::Please select the day of your birth.","Kies de dag van je geboorte."
"Customweb_UnzerCw::Please select the expiry month on your card.","Selecteer de mot van vervaldatum op uw kaart."
"Customweb_UnzerCw::Please select the expiry year on your card.","Vul datum van de kaart de vervaldatum in te voeren"
"Customweb_UnzerCw::Please select the month of your birth.","Kies de maand van je geboorte."
"Customweb_UnzerCw::Please select the the year of your birth.","Selecteer het het jaar van uw geboorte."
"Customweb_UnzerCw::Please wait, processing your order...","Please wait, processing your order..."
"Customweb_UnzerCw::Price","Prijs"
"Customweb_UnzerCw::Private Key","Private Key"
"Customweb_UnzerCw::Private Key (Live)","Private Key (Live)"
"Customweb_UnzerCw::Private Key (Test)","Private Key (Test)"
"Customweb_UnzerCw::Private Key for live requests, provided by Unzer.","Private Key for live requests, provided by Unzer."
"Customweb_UnzerCw::Private Key for test requests, provided by Unzer.","Private Key for test requests, provided by Unzer."
"Customweb_UnzerCw::Processed partial cancel on authorize for amount @amount with id @id.","Processed partial cancel on authorize for amount @amount with id @id."
"Customweb_UnzerCw::Processing metadata failed","Processing metadata failed"
"Customweb_UnzerCw::Processing shipment failed","Processing shipment failed"
"Customweb_UnzerCw::Processing type failed","Processing type failed"
"Customweb_UnzerCw::Product","Product"
"Customweb_UnzerCw::Product Name","Product Name"
"Customweb_UnzerCw::Public Key","Public Key"
"Customweb_UnzerCw::Public Key (Live)","Public Key (Live)"
"Customweb_UnzerCw::Public Key (Test)","Public Key (Test)"
"Customweb_UnzerCw::Public Key for live requests, provided by Unzer.","Public Key for live requests, provided by Unzer."
"Customweb_UnzerCw::Public Key for test requests, provided by Unzer.","Public Key for test requests, provided by Unzer."
"Customweb_UnzerCw::Purchase Point","Purchase Point"
"Customweb_UnzerCw::Qty","Hoeveelheid"
"Customweb_UnzerCw::Recurring Payments","Recurring Payments"
"Customweb_UnzerCw::Refund Amount","Terug te betalen bedrag"
"Customweb_UnzerCw::Refund ID","Refund ID"
"Customweb_UnzerCw::Refund amount","Terug te betalen bedrag"
"Customweb_UnzerCw::Refund could not be completely processed, rest amount open: @amount","Refund could not be completely processed, rest amount open: @amount"
"Customweb_UnzerCw::Refund information","Informatie van de terugbetaling"
"Customweb_UnzerCw::Refund status","Status van de restitutie"
"Customweb_UnzerCw::Refunded Amount","Bedrag gecrediteerd"
"Customweb_UnzerCw::Refunded amount (@refunded) does not equal canceled amount (@canceled). Please check in your Unzer backend.","Refunded amount (@refunded) does not equal canceled amount (@canceled). Please check in your Unzer backend."
"Customweb_UnzerCw::Refunds","Refunds"
"Customweb_UnzerCw::Register","Register"
"Customweb_UnzerCw::Register to Create an Account","Register to Create an Account"
"Customweb_UnzerCw::Register with us for future convenience:","Register with us for future convenience:"
"Customweb_UnzerCw::Release Date","Release Date"
"Customweb_UnzerCw::Request was succesfull, but no recurring alias could be created.","Request was succesfull, but no recurring alias could be created."
"Customweb_UnzerCw::Rest has been cancelled.","Rest has been cancelled."
"Customweb_UnzerCw::Review","Review"
"Customweb_UnzerCw::Rounding Adjustment","Rounding Adjustment"
"Customweb_UnzerCw::Row Total","Rijtotaal"
"Customweb_UnzerCw::SEPA Mandate ID","SEPA Mandate ID"
"Customweb_UnzerCw::SKU:","SKU:"
"Customweb_UnzerCw::Sales","Sales"
"Customweb_UnzerCw::Sales Tax Number","Sales Tax nummer"
"Customweb_UnzerCw::Salutation","Salutation"
"Customweb_UnzerCw::Save","Bewaren"
"Customweb_UnzerCw::Saved cards:","Opgeslagen kaarten:"
"Customweb_UnzerCw::See order and shipping status","See order and shipping status"
"Customweb_UnzerCw::Select Brand","Kies een Merk"
"Customweb_UnzerCw::Select Method","Select Method"
"Customweb_UnzerCw::Select plan","Select plan"
"Customweb_UnzerCw::Select the authorization method to use for processing this payment method.","Selecteer de Autorisatie Methode voor deze betaalmethode."
"Customweb_UnzerCw::Select the date of your birth.","Kies de datum van uw geboorte."
"Customweb_UnzerCw::Select the date on which your card expires.","Selecteer de datum waarop uw kaart verloopt."
"Customweb_UnzerCw::Sellxed On Hold","Sellxed In de wacht"
"Customweb_UnzerCw::Send Basket","Send Basket"
"Customweb_UnzerCw::Send Customer","Send Customer"
"Customweb_UnzerCw::Send Invoice Email","Send Invoice Email"
"Customweb_UnzerCw::Send amounts to Unzer in base currency.","Send amounts to Unzer in base currency."
"Customweb_UnzerCw::Send amounts to Unzer in store's base currency.","Send amounts to Unzer in store's base currency."
"Customweb_UnzerCw::Send invoice email","Send invoice email"
"Customweb_UnzerCw::Send the invoice email automatically after invoice creation.","Send the invoice email automatically after invoice creation."
"Customweb_UnzerCw::Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","Voor 'Directe Boeking' het bedrag wordt direct in mindering gebracht na betaling voltooid. Voor 'Vertraagde boeking' het bedrag wordt gedebiteerd pas na een bepaalde periode van je."
"Customweb_UnzerCw::Set the sort order to show the external checkouts.","Set the sort order to show the external checkouts."
"Customweb_UnzerCw::Settlement after order","Creatie na de bestelling"
"Customweb_UnzerCw::Setup","Setup"
"Customweb_UnzerCw::Shipment created over @amount.","Shipment created over @amount."
"Customweb_UnzerCw::Shipment request has been processed.","Shipment request has been processed."
"Customweb_UnzerCw::Shipping & Handling","Shipping & Handling"
"Customweb_UnzerCw::Shipping Address","Shipping Address"
"Customweb_UnzerCw::Shipping Amount","Verzending bedrag"
"Customweb_UnzerCw::Shipping Information","Verzend Informatie"
"Customweb_UnzerCw::Shipping Method","Shipping Method"
"Customweb_UnzerCw::Shipping Methods","Shipping Methods"
"Customweb_UnzerCw::Shipping Refund","Verzending terugbetaling"
"Customweb_UnzerCw::Shop","Shop"
"Customweb_UnzerCw::Short Installation Instructions:","Short Installation Instructions:"
"Customweb_UnzerCw::Should customer data be transmitted to Unzer? This slightly increases the processing time due to an additional request, but may allow e.g. saving the payment method to the customer.","Should customer data be transmitted to Unzer? This slightly increases the processing time due to an additional request, but may allow e.g. saving the payment method to the customer."
"Customweb_UnzerCw::Should the amount be captured automatically after the order (Direct Charge) or should the amount only be reserved (Authorize)?","Should the amount be captured automatically after the order (Direct Charge) or should the amount only be reserved (Authorize)?"
"Customweb_UnzerCw::Should the amount be captured automatically after the order (Direkte Belastung) or should the amount only be reserved (Authorize)?","Should the amount be captured automatically after the order (Direkte Belastung) or should the amount only be reserved (Authorize)?"
"Customweb_UnzerCw::Should the invoice items be transmitted to Unzer? This slightly increases the processing time due to an additional request, and may cause issues for certain quantity / price combinations.","Should the invoice items be transmitted to Unzer? This slightly increases the processing time due to an additional request, and may cause issues for certain quantity / price combinations."
"Customweb_UnzerCw::Show","Show"
"Customweb_UnzerCw::Show Account Selection","Show Account Selection"
"Customweb_UnzerCw::Show Further Settings and Information","Toon meer instellingen en informatie"
"Customweb_UnzerCw::Show Image","Show Image"
"Customweb_UnzerCw::Show Payment Id","Show Payment Id"
"Customweb_UnzerCw::Show the payment id","Show the payment id"
"Customweb_UnzerCw::Show the payment id in the order information","Show the payment id in the order information"
"Customweb_UnzerCw::Show the payment image","Show the payment image"
"Customweb_UnzerCw::Show the payment image on the checkout page","Show the payment image on the checkout page"
"Customweb_UnzerCw::Sign In","Sign In"
"Customweb_UnzerCw::Social Security Number","Social Security Number"
"Customweb_UnzerCw::Sort Order","Schik de orde"
"Customweb_UnzerCw::Status","Status"
"Customweb_UnzerCw::Store the payment details","Store the payment details"
"Customweb_UnzerCw::Stored payment details","Stored payment details"
"Customweb_UnzerCw::Submit Order","Submit Order"
"Customweb_UnzerCw::Submitting order information...","Submitting order information..."
"Customweb_UnzerCw::Subtotal","Subtotaal"
"Customweb_UnzerCw::Success","Succes"
"Customweb_UnzerCw::Successful","Met goed gevolg"
"Customweb_UnzerCw::Successful online refund of amount","Succesvolle online teruggaaf van bedragen"
"Customweb_UnzerCw::Successful payment authorization.","Succesvolle machtiging."
"Customweb_UnzerCw::Successfull online refund of amount","Het bedrag werd met succes terugbetaald."
"Customweb_UnzerCw::Support","Support"
"Customweb_UnzerCw::Tax Amount","Belastingbedrag"
"Customweb_UnzerCw::Technical issue: This payment methods is not available at the moment.","Technisch probleem: Deze betaalmethode is momenteel niet beschikbaar."
"Customweb_UnzerCw::Test","Test"
"Customweb_UnzerCw::Test Mode","Test Mode"
"Customweb_UnzerCw::Test Transaction","Test Transaction"
"Customweb_UnzerCw::The HMAC key as defined in the live backoffice of Unzer. You may need generate the HMAC key. Please take a look at the manual how to do this.","The HMAC key as defined in the live backoffice of Unzer. You may need generate the HMAC key. Please take a look at the manual how to do this."
"Customweb_UnzerCw::The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","De SEPA-machtiging schema niet de tag 'tag!' Bevatten. Deze tag is nodig."
"Customweb_UnzerCw::The alias could not be found.","The alias could not be found."
"Customweb_UnzerCw::The alias has been deleted.","De alias is verwijderd."
"Customweb_UnzerCw::The alias transaction could not be conductet with error code: !code, and reason: !reason:","The alias transaction could not be conductet with error code: !code, and reason: !reason:"
"Customweb_UnzerCw::The amount could not be verified.","The amount could not be verified."
"Customweb_UnzerCw::The amount of !amount is authorized.","Het bedrag van !amount is toegestaan."
"Customweb_UnzerCw::The amount of !amount is captured.","De hoeveelheid !amount wordt opgevangen."
"Customweb_UnzerCw::The authorization method '!method' is not supported.","De methode vergunning '!method' wordt niet ondersteund."
"Customweb_UnzerCw::The authorization was not successful","The authorization was not successful"
"Customweb_UnzerCw::The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting."
"Customweb_UnzerCw::The brand with external name '!key' was not present in the map.","Het merk met externe naam  '!key' was niet in de kaart."
"Customweb_UnzerCw::The brand with key '!key' was not found in the card information map.","Het merk met de belangrijkste !key'  werd niet gevonden in de kaartinformatie kaart."
"Customweb_UnzerCw::The cancellation could not be conducted. Error code: !error.","The cancellation could not be conducted. Error code: !error."
"Customweb_UnzerCw::The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","De vangst bedrag (!captureAmount) kan niet hoger zijn dan het toegestane bedrag (!authorizedAmount)."
"Customweb_UnzerCw::The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal)."
"Customweb_UnzerCw::The capture item with SKU '@sku' is not present in the original order.","The capture item with SKU '@sku' is not present in the original order."
"Customweb_UnzerCw::The capturing could not be conducted. Error code: !error.","The capturing could not be conducted. Error code: !error."
"Customweb_UnzerCw::The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?"
"Customweb_UnzerCw::The configuration has been saved.","De configuratie is opgeslagen."
"Customweb_UnzerCw::The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output."
"Customweb_UnzerCw::The customer does not finish the payment with in the timeout.","The customer does not finish the payment with in the timeout."
"Customweb_UnzerCw::The date of birth is required.","The date of birth is required."
"Customweb_UnzerCw::The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.","De verwachte formaat is '!format' waar de 'MM' is de maand nummer en 'YY' het jaartal."
"Customweb_UnzerCw::The gender is required.","The gender is required."
"Customweb_UnzerCw::The given CVC code has the wrong length.","De gegeven CVC-code heeft de verkeerde lengte."
"Customweb_UnzerCw::The given card number has an invalid check sum.","Het opgegeven kaartnummer heeft een ongeldige checksum."
"Customweb_UnzerCw::The given card number has an invalid length.","Het opgegeven kaartnummer heeft een ongeldige lengte."
"Customweb_UnzerCw::The given hmac key is empty.","The given hmac key is empty."
"Customweb_UnzerCw::The given identifier is empty.","The given identifier is empty."
"Customweb_UnzerCw::The given password is empty.","The given password is empty."
"Customweb_UnzerCw::The given rang is empty. It must be a nummeric value with length of two.","The given rang is empty. It must be a nummeric value with length of two."
"Customweb_UnzerCw::The given rang is invalid. It must be a nummeric value with length of two.","The given rang is invalid. It must be a nummeric value with length of two."
"Customweb_UnzerCw::The given site number is empty.","The given site number is empty."
"Customweb_UnzerCw::The identifier as defined in the backoffice of Unzer.","The identifier as defined in the backoffice of Unzer."
"Customweb_UnzerCw::The interest rate in percent that you enter here will be applied onto the instalment. The rate must be above the amount that you have agreed up on with Unzer.","The interest rate in percent that you enter here will be applied onto the instalment. The rate must be above the amount that you have agreed up on with Unzer."
"Customweb_UnzerCw::The invoice could not be captured and processed by","De rekening kon niet worden geboekt en bewerkt van Unzer."
"Customweb_UnzerCw::The invoice could not be captured and processed. Reason:","De factuur kan niet worden vastgelegd en verwerkt. Reden:"
"Customweb_UnzerCw::The invoice could not be found.","De factuur kan niet worden gevonden."
"Customweb_UnzerCw::The invoice has been changed.","De factuur is gewijzigd."
"Customweb_UnzerCw::The invoice no longer exists.","De factuur bestaat niet meer."
"Customweb_UnzerCw::The layout does not contain the tag '!layout_tag'.","De lay-out is niet de tag '!layout_tag' bevatten."
"Customweb_UnzerCw::The next update execution date indicates when the next cron is run to update the transaction state.","The next update execution date indicates when the next cron is run to update the transaction state."
"Customweb_UnzerCw::The order is not fully completed. Please contact the store owner.","The order is not fully completed. Please contact the store owner."
"Customweb_UnzerCw::The payment form will be displayed after submitting the order.","The payment form will be displayed after submitting the order."
"Customweb_UnzerCw::The payment has been accepted.","The payment has been accepted."
"Customweb_UnzerCw::The payment has been denied.","The payment has been denied."
"Customweb_UnzerCw::The payment method !paymentMethodName does not support the currency '!currency'.","De betaalmethode !paymentMethodName ondersteunt niet de munt '!currency'."
"Customweb_UnzerCw::The payment method !paymentMethodName is not available in your country ('!country').","De betaalmethode !paymentMethodName is niet beschikbaar in uw land ('!country')."
"Customweb_UnzerCw::The payment update has been made.","The payment update has been made."
"Customweb_UnzerCw::The provided signature does not match with the one calculated.","The provided signature does not match with the one calculated."
"Customweb_UnzerCw::The rang (PBX_RANG) as defined in the live backoffice of Unzer. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","The rang (PBX_RANG) as defined in the live backoffice of Unzer. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit."
"Customweb_UnzerCw::The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal)."
"Customweb_UnzerCw::The refund item with SKU '@sku' is not present in the original order.","The refund item with SKU '@sku' is not present in the original order."
"Customweb_UnzerCw::The refunding could not be conducted. Error code: !error.","The refunding could not be conducted. Error code: !error."
"Customweb_UnzerCw::The shopping cart has been altered!","The shopping cart has been altered!"
"Customweb_UnzerCw::The signature could not be verified.","The signature could not be verified."
"Customweb_UnzerCw::The site id (PBX_RANG) as defined in the backoffice of Unzer.","The site id (PBX_RANG) as defined in the backoffice of Unzer."
"Customweb_UnzerCw::The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","Het totaal terug te betalen bedrag kan niet hoger zijn dan de vastgelegde bedrag"
"Customweb_UnzerCw::The transaction cannot be cancelled online.","The transaction cannot be cancelled online."
"Customweb_UnzerCw::The transaction cannot be captured online.","The transaction cannot be captured online."
"Customweb_UnzerCw::The transaction cannot be refunded online.","The transaction cannot be refunded online."
"Customweb_UnzerCw::The transaction failed for an unknown reason.","The transaction failed for an unknown reason."
"Customweb_UnzerCw::The transaction failed for an unkown reason.","The transaction failed for an unkown reason."
"Customweb_UnzerCw::The transaction failed with error code !code.","The transaction failed with error code !code."
"Customweb_UnzerCw::The transaction is only executed in the test system. The goods should not be delivered.","The transaction is only executed in the test system. The goods should not be delivered."
"Customweb_UnzerCw::The transaction is pending.","The transaction is pending."
"Customweb_UnzerCw::The transaction was cancelled.","The transaction was cancelled."
"Customweb_UnzerCw::The uncertain transaction was accepted.","De ongedekte transactie werd aanvaard."
"Customweb_UnzerCw::The uncertain transaction was finally declined.","De ongedekte transactie werd uiteindelijk verworpen."
"Customweb_UnzerCw::The value for '@label' must be set in the configuration.","The value for '@label' must be set in the configuration."
"Customweb_UnzerCw::The whole transaction is cancelled.","De gehele transactie is geannuleerd."
"Customweb_UnzerCw::There has been a problem during the processing of your payment.","There has been a problem during the processing of your payment."
"Customweb_UnzerCw::There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","Er is een probleem bij de verwerking van uw betaling. Neem contact op met de winkel eigenaar om ervoor te zorgen dat uw bestelling succesvol geplaatst wordt."
"Customweb_UnzerCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1"
"Customweb_UnzerCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s"
"Customweb_UnzerCw::There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account."
"Customweb_UnzerCw::There seems to be a problem with the Unzer module.","Er lijkt een probleem met de Unzer module zijn."
"Customweb_UnzerCw::There was an error validating the login and password.","There was an error validating the login and password."
"Customweb_UnzerCw::This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email."
"Customweb_UnzerCw::This is a brief installation instruction of the main and most important installation steps. It is important that you strictly follow the check-list. Only by doing so, the secure usage in correspondence with all security regulations can be guaranteed.","This is a brief installation instruction of the main and most important installation steps. It is important that you strictly follow the check-list. Only by doing so, the secure usage in correspondence with all security regulations can be guaranteed."
"Customweb_UnzerCw::This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Unzer account.","This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Unzer account."
"Customweb_UnzerCw::This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page."
"Customweb_UnzerCw::This status is set, when the payment was successfull and it is authorized.","This status is set, when the payment was successfull and it is authorized."
"Customweb_UnzerCw::This transaction is already closed for further captures.","Deze transactie is gesloten en geen verdere gegevens worden gemaakt."
"Customweb_UnzerCw::This transaction is already closed for further refunds.","Deze transactie werd gesloten voor meer credits."
"Customweb_UnzerCw::This transaction no longer exists.","This transaction no longer exists."
"Customweb_UnzerCw::Timeout for pending payments (min)","Time-out voor lopende betalingen (min)"
"Customweb_UnzerCw::Titel","Titel"
"Customweb_UnzerCw::Title","Title"
"Customweb_UnzerCw::Title of the payment method","Naam van de betalingsmethode"
"Customweb_UnzerCw::Total","Totaal"
"Customweb_UnzerCw::Total Shipping Charges","Totale verzendkosten"
"Customweb_UnzerCw::Track order history","Track order history"
"Customweb_UnzerCw::Transaction","Transaction"
"Customweb_UnzerCw::Transaction Authorized","Geautoriseerde transactie"
"Customweb_UnzerCw::Transaction Cancelled","Transactie geannuleerd"
"Customweb_UnzerCw::Transaction Captured","Transactie opgenomen"
"Customweb_UnzerCw::Transaction History","Transaction History"
"Customweb_UnzerCw::Transaction Id","Transaction Id"
"Customweb_UnzerCw::Transaction Paid","Transactie betaald"
"Customweb_UnzerCw::Transaction Uncertain","Transactie is onzeker"
"Customweb_UnzerCw::Transaction Updates","Transaction Updates"
"Customweb_UnzerCw::Transaction cancelled successfully","Transactie met succes geannuleerd"
"Customweb_UnzerCw::Transaction captured successfully","Transactie met succes gevangen"
"Customweb_UnzerCw::Transaction history","Overzicht transactie"
"Customweb_UnzerCw::Transaction in state partial capture.","Transaction in state partial capture."
"Customweb_UnzerCw::Transaction is in state partial capture.","Transaction is in state partial capture."
"Customweb_UnzerCw::Transaction should be manually reviewed due to a received chargeback.","Transaction should be manually reviewed due to a received chargeback."
"Customweb_UnzerCw::Transaction should be manually reviewed.","Transaction should be manually reviewed."
"Customweb_UnzerCw::Transaction was authorized over the deferred authorization mechanism.","Transactie werd toegestaan ​​over de uitgestelde autorisatiemechanisme."
"Customweb_UnzerCw::Transaction was authorized, but is already failed in store.","Transaction was authorized, but is already failed in store."
"Customweb_UnzerCw::Transaction was cancelled or refunded, but status change cannot be reflected in store.","Transaction was cancelled or refunded, but status change cannot be reflected in store."
"Customweb_UnzerCw::Transaction was cancelled, but is already authorized in store.","Transaction was cancelled, but is already authorized in store."
"Customweb_UnzerCw::Transaction was captured in Unzer, but cannot be captured in store.","Transaction was captured in Unzer, but cannot be captured in store."
"Customweb_UnzerCw::Transactions","Transactions"
"Customweb_UnzerCw::Unable to process form data: '@inner'.","Unable to process form data: '@inner'."
"Customweb_UnzerCw::Unable to save the invoice.","Niet in staat om de factuur op te slaan."
"Customweb_UnzerCw::Uncertain Status","Uncertain Status"
"Customweb_UnzerCw::Uncertain transactions","Onzekere transacties"
"Customweb_UnzerCw::Unfortunately you cannot continue.","Unfortunately you cannot continue."
"Customweb_UnzerCw::Unless you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","Unless you select this checkbox, the payment will be captured at the PSP and you can not add additional captures."
"Customweb_UnzerCw::Update","Update"
"Customweb_UnzerCw::Update Qty's","Hoeveelheden update"
"Customweb_UnzerCw::Update interval for payments","Update Intervall voor betalingen"
"Customweb_UnzerCw::Use Base Currency","Use Base Currency"
"Customweb_UnzerCw::Use Default","Gebruik standaardinstellingen"
"Customweb_UnzerCw::Use base currency","Use base currency"
"Customweb_UnzerCw::VISA","VISA"
"Customweb_UnzerCw::Validation","Bevestiging"
"Customweb_UnzerCw::Value for '@name' must be set.","Value for '@name' must be set."
"Customweb_UnzerCw::Version","Version"
"Customweb_UnzerCw::View","View"
"Customweb_UnzerCw::Wait On Success Page","Wait On Success Page"
"Customweb_UnzerCw::We cannot get the transaction instance.","We cannot get the transaction instance."
